RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
20338,7338,117961,118225,118616,118321,240983,290919,118322,1
75901,5047,117961,118300,127284,118826,236735,118424,118828,1
79092,46224,117961,118327,118378,120952,120953,118453,120954,1
39633,87,117961,118446,118447,118321,117906,290919,118322,1
75633,8126,117961,118327,118320,117905,117906,290919,117908,1
18278,2612,117961,118327,123901,118321,117906,290919,118322,1
1028,49850,117961,118413,122007,118259,118260,290919,118261,1
16524,4567,117961,118300,118514,118054,287351,117887,118055,1
16282,16588,119920,119921,137107,118321,117906,290919,118322,0
15369,17727,118169,118170,118171,118172,118173,249618,118175,1
79092,5228,119596,119597,168533,120789,301124,118424,120791,0
78749,17713,117961,118225,120663,124194,127527,118363,124196,1
27755,19881,118006,118007,117941,117879,117897,19721,117880,1
25993,7530,117961,118300,118514,1.18E+05,168365,118205,118319,1
75834,5916,117961,118446,16232,117905,117906,290919,117908,1
14354,4135,117890,118102,117878,117899,123862,19721,117900,1
31700,5666,122880,122974,117945,117946,149568,292795,117948,1
45532,61016,119596,119597,119703,118912,174408,118424,118914,1
42085,4733,118290,118291,120126,118980,166203,118295,118982,1
20364,4909,117961,118300,118458,120497,223125,118424,120499,1
42367,50511,118006,118007,117884,117899,117897,19721,117900,1
6977,151425,119062,119091,118514,119962,168365,118205,119964,1
23181,67615,117932,117933,117878,118568,310414,19721,118570,1
16503,2149,118550,118551,120559,118054,118443,117887,118055,1
33080,8701,117961,118327,121787,130479,249508,119784,130481,1
34884,58865,117961,118446,119064,118702,142652,118704,118705,1
3130,71189,117961,118386,128823,118318,168365,118205,118319,1
40997,7067,117961,118225,118403,1.18E+05,117906,290919,118322,1
34861,3197,117961,118386,120361,118321,117906,290919,118322,1
849,851,117961,117962,122215,118321,117906,290919,118322,1
16411,16566,117961,118327,120559,118054,124424,117887,118055,1
70806,718,117961,118300,119181,118259,126363,290919,118261,1
33111,33112,118212,118213,120551,117905,240983,290919,117908,1
79121,4110,119596,119597,118292,138137,177534,118424,138139,1
15064,3211,117961,118446,120368,118054,118054,117887,118055,1
3719,7339,117961,118300,118360,124194,130884,118363,124196,1
36828,48656,117926,117927,117920,118568,281735,19721,118570,0
79121,13864,117961,118446,123858,119849,244844,118638,119851,1
23194,820,117961,118300,123719,118777,279443,308574,118779,1
79934,4511,117961,118300,119181,117905,290919,290919,117908,1
43952,23228,117961,118446,118471,130528,255657,118474,120364,1
25993,80499,91261,118026,119734,122345,240337,118667,122346,1
15672,2781,117961,118300,118360,119849,310589,118638,119851,1
44874,34459,117961,118225,118403,118685,279443,308574,118687,1
16443,3526,117961,118225,120323,119093,121698,119095,119096,1
29093,25396,118602,118603,117941,117899,118568,19721,117900,1
74978,72493,118079,118080,117878,117879,118177,19721,117880,1
33642,10087,117910,118855,117920,118568,131694,19721,118570,1
28315,48938,118169,118170,119781,118563,221815,270488,118565,1
74463,25724,118290,118291,119136,120056,155541,118474,120058,1
79625,72192,117902,117903,118507,120990,120991,118398,120992,1
27262,2858,118219,118220,118344,127847,128352,118347,127848,1
76627,30519,117961,117962,119223,118777,127897,308574,118779,1
20275,14811,117961,118343,118344,120812,120812,118638,120814,1
19989,1728,117961,118327,118507,121527,128634,118398,121529,1
74593,3889,117961,118386,121668,118685,279443,308574,118687,1
39939,23224,117961,118225,120535,118890,125128,118398,118892,1
6878,56802,118003,118004,117878,117899,117879,19721,117900,1
41314,72133,117887,118178,118940,259173,182013,292795,118943,1
74726,7019,119134,119135,118597,118777,308574,308574,118779,1
80210,46526,117961,118300,119984,123067,269406,118398,123068,1
45044,6029,118216,118217,118810,118811,309981,19793,118813,1
75834,5541,117961,118300,118514,118321,117906,290919,118322,1
28622,8784,117961,118300,119890,118422,147040,118424,118425,1
73107,49772,91261,118026,118746,118747,126309,118453,118749,1
80213,46476,117902,117903,120171,117905,117906,290919,117908,1
79092,5240,118887,118888,127284,118912,309291,118424,118914,1
3069,3120,117961,118300,120312,118792,255249,118424,118794,1
34518,4341,117961,118300,118957,118321,117906,290919,118322,0
75447,4565,117961,118386,121961,118784,117906,290919,118786,1
105471,49574,117961,118327,118391,117905,117906,290919,117908,1
25993,13822,117961,118300,127849,127850,311360,118424,127851,1
36429,46658,117961,119256,119257,118995,118806,292795,118997,1
75631,2014,117961,117962,117904,119949,311441,290919,119951,1
25993,994,117961,118300,120312,120516,123107,120518,120519,1
6720,7460,117961,118300,118783,118784,118785,290919,118786,1
25993,49521,117961,118300,123055,120006,150350,118424,120008,1
79121,15413,117961,118343,120270,311867,130382,118478,118479,1
78849,5238,119596,119597,118053,118207,174445,270488,118209,1
79992,70066,91261,118026,118202,119962,168365,118205,119964,1
41594,13784,117961,118327,125144,119849,236061,118638,119851,1
42031,71391,117961,118386,118522,118259,230101,290919,118261,1
20281,58694,117916,118011,117912,117879,117897,19721,117880,1
41582,2343,119691,119692,118635,122967,311441,119695,122969,1
72168,5330,117961,118052,118867,118685,279443,308574,118687,1
42636,6220,117961,118327,121645,120690,120691,290919,120692,1
100929,17006,117902,118041,118623,117946,118806,292795,117948,1
33989,3230,117961,118386,121961,120348,249620,118295,120350,1
34503,2641,117961,118327,118391,118321,117906,290919,118322,1
15868,85475,117961,118300,120410,118784,117906,290919,118786,1
6977,7505,117961,118300,119195,117905,117906,290919,117908,1
29100,1755,117961,117962,119223,125793,139296,118643,125795,1
3826,196,117961,118413,121639,129909,130134,118453,129911,1
4675,55895,117961,118343,118979,118777,279443,308574,118779,1
13878,13386,118219,118220,118221,118568,268194,19721,118570,1
44722,70134,117961,117962,126930,134095,147818,118474,118475,1
1020,53338,117961,117962,122215,179731,137925,117887,117973,1
75477,4724,117961,118386,118896,121414,127581,118704,121416,1
